occurrence_no,identified_name,identified_rank,identified_no,accepted_name,accepted_attr,accepted_rank,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
130209,n. gen. Chaoyangosaurus n. sp. liaosiensis,species,65704,Chaoyangsaurus youngi,,species,Late Tithonian,Valanginian,150.8,132.9,13360,123.966698,42.9333
130294,n. gen. Protarchaeopteryx n. sp. robusta,species,66068,Protarchaeopteryx robusta,,species,Late Barremian,Early Aptian,130,122.46,4006,120.73333,41.799999
130295,n. gen. Caudipteryx n. sp. zoui,species,66066,Caudipteryx zoui,,species,Late Barremian,Early Aptian,130,122.46,19421,120.73333,41.799999
137486,Theropoda indet.,unranked clade,94209,Theropoda,,unranked clade,Middle Campanian,Late Campanian,83.5,70.6,59136,99.599998,43.299999
138867,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Berriasian,Aptian,145,113,4203,34.726665,30.538889
139242,Gorgosaurus n. sp. sternbergi,species,63900,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,13165,-111.528732,50.740726
139249,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,16964,-111.461914,50.753296
139250,Gorgosaurus libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,4205,-111.549347,50.737015
139251,Centrosaurus apertus,species,63911,Centrosaurus apertus,,species,Late Campanian,,83.5,70.6,16964,-111.528931,50.737297
139252,Gorgosaurus libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,4205,-111.564636,50.723866
139253,Gorgosaurus libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,4205,-111.525337,50.740471
139254,n. gen. Gorgosaurus n. sp. libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,17547,-111.601021,50.786999
139255,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Late Maastrichtian,,70.6,66,9259,-112.981903,51.8046
139256,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,4205,-112.981903,51.819099
139257,Albertosaurus n. sp. arctunguis,species,63710,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,12347,-112.818901,51.542702
139258,n. gen. Albertosaurus n. sp. sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,9259,-112.8423,51.469898
139259,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,4205,-112.702202,51.4408
139260,Titanosaurus n. sp. colberti,species,64311,Isisaurus colberti,,species,Maastrichtian,,72.1,66,4177,80.366669,21.183332
139261,Daspletosaurus torosus,species,57258,Daspletosaurus torosus,,species,Late Campanian,,83.5,70.6,4205,-110.681999,49.083698
139262,Theropoda indet.,unranked clade,94209,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,62883,-111.511902,50.742401
139290,n. gen. Daspletosaurus n. sp. torosus,species,57258,Daspletosaurus torosus,,species,Middle Campanian,,83.5,70.6,4205,-111.485008,50.751526
139291,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,76179,-112.934799,51.928299
139292,Tyrannosaurus rex,species,54833,Tyrannosaurus rex,,species,Late Maastrichtian,,70.6,66,4218,-113.0289,51.906399
139293,cf. Tyrannosaurus rex,species,54833,Tyrannosaurus rex,,species,Late Maastrichtian,,70.6,66,4205,-113.23333,51.933334
139294,Gryposaurus cf. notabilis,species,63251,Gryposaurus notabilis,,species,Late Campanian,,83.5,70.6,59147,-111.529999,50.77
139340,n. gen. Ankylosaurus n. sp. magniventris,species,52793,Ankylosaurus magniventris,,species,Late Maastrichtian,,70.6,66,4210,-106.569901,47.637699
139341,Pleurocoelus sp.,genus,54170,Titanosauriformes,,unranked clade,Late Aptian,Early Albian,122.46,109,14253,-96.278053,34.18
144305,cf. Saurornitholestes sp.,genus,38567,Saurornitholestes,,genus,Early Maastrichtian,,70.6,66,77788,22.9158,45.547501
144307,Bistahieversor sealeyi,species,163808,Bistahieversor sealeyi,,species,Late Campanian,,83.5,70.6,32137,-107.966393,36.06028
146081,Abelisauridae indet.,family,53942,Abelisauridae,,family,Late Maastrichtian,,70.6,66,76372,-65.940002,-17.687
147092,n. gen. Stenotholus n. sp. kohleri,species,53215,Pachycephalosaurus wyomingensis,,species,Maastrichtian,,72.1,66,4306,-106.227776,47.695831
147093,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Maastrichtian,,72.1,66,4306,-106.227776,47.695831
148500,n. gen. Sonorasaurus n. sp. thompsoni,species,68170,Sonorasaurus thompsoni,,species,Late Albian,Early Cenomanian,105.3,93.5,14864,-110.418053,31.81139
148510,Vegaviidae indet.,unranked clade,361851,Vegaviidae,,unranked clade,Late Maastrichtian,,70.6,66,63548,-56.75,-64.283333
148628,Mononykus olecranus,species,67288,Mononykus olecranus,,species,Maastrichtian,,72.1,66,4373,99.599998,43.540001
148629,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,4373,99.599998,43.540001
148633,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Cretaceous,,145,66,4374,34.806946,23.380833
149328,Coeluridae ? indet.,family,53001,Coeluridae,,family,Late Maastrichtian,,70.6,66,4381,-106.099998,47.799999
149585,Lithostrotia indet.,unranked clade,71974,Lithostrotia,,unranked clade,Campanian,,83.6,72.1,76304,-65.26667,-24.299999
149586,Carnosauria indet.,infraorder,53943,Carnosauria,,infraorder,Late Maastrichtian,,70.6,66,55175,-65.26667,-24.299999
149611,Hadrosauroidea indet.,unranked clade,184951,Hadrosauroidea,,unranked clade,Late Maastrichtian,,70.6,66,56054,0.948611,43.142776
149854,Ornithopoda indet.,unranked clade,38713,Ornithopoda,,unranked clade,Late Barremian,Early Aptian,130,122.46,4397,-1.381643,50.62413
149859,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Barremian,Early Aptian,130,122.46,14199,-1.468,50.654499
149860,Hypsilophodon sp.,genus,38736,Hypsilophodon,,genus,Late Barremian,Early Aptian,130,122.46,4398,-1.468,50.654499
149983,Orodromeus makelai,species,64338,Orodromeus makelai,,species,Campanian,,83.6,72.1,7404,-112.182777,47.8125
149984,Maiasaura peeblesorum,species,55574,Maiasaura peeblesorum,,species,Campanian,,83.6,72.1,4406,-112.182777,47.8125
149987,n. gen. Goyocephale n. sp. lattimorei,species,52838,Goyocephale lattimorei,,species,Santonian,Maastrichtian,86.3,66,4408,102.066666,48.583332
149989,n. gen. Tethyshadros n. sp. insularis,species,161198,Tethyshadros insularis,,species,Early Campanian,Middle Campanian,83.5,70.6,31507,13.588611,45.77861
150084,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Late Maastrichtian,,70.6,66,4413,-111.254166,39.267223
150138,Ichthyornis cf. dispar,species,54877,Ichthyornis dispar,,species,Early Coniacian,Early Campanian,89.3,70.6,4419,-101,39
150139,Hesperornis sp.,genus,36620,Hesperornis,,genus,Early Coniacian,Early Campanian,89.3,70.6,4419,-101,39
150155,n. gen. Neogaeornis n. sp. wetzeli,species,53321,Neogaeornis wetzeli,,species,Late Maastrichtian,,70.6,66,6052,-73.116669,-36.716667
150156,n. gen. Alexornis n. sp. antecedens,species,53319,Alexornis antecedens,,species,Santonian,,86.3,83.6,4423,-115.73333,30.049999
150157,n. gen. Yacoraitichnus n. sp. avis,species,58867,Yacoraitichnus avis,,species,Late Maastrichtian,,70.6,66,6049,-66,-25.5
150158,n. gen. Patagonichnornis n. sp. venetiorum,species,53322,Patagonichnornis venetiorum,,species,Late Campanian,Early Maastrichtian,83.5,66,6051,-69.466667,-41.349998
150238,Megaloolithus siruguei,species,67202,Megaloolithus siruguei,,species,Early Maastrichtian,,70.6,66,23594,1.078398,42.113537
150239,Titanosauridae indet.,family,38680,Titanosauridae,,family,Maastrichtian,,72.1,66,5968,6.3,43.583332
150240,n. gen. Amargasaurus n. sp. cazaui,species,53962,Amargasaurus cazaui,,species,Barremian,,129.4,125,5970,-70.194786,-39.481979
150241,Telmatosaurus transsylvanicus,species,68154,Telmatosaurus transsylvanicus,,species,Early Maastrichtian,,70.6,66,76545,22.845142,45.603615
150242,Owenodon sp.,genus,163544,Owenodon,,genus,Berriasian,,145,139.8,31500,22.4,46.950001
150246,Theropoda indet.,unranked clade,91970,Theropoda,,unranked clade,Berriasian,,145,139.8,4007,22.4,46.950001
150247,Ankylosauria indet.,unranked clade,38816,Ankylosauria,,unranked clade,Berriasian,,145,139.8,4007,22.4,46.950001
150248,Valdosaurus canaliculatus,species,52886,Valdosaurus canaliculatus,,species,Berriasian,,145,139.8,50241,22.4,46.950001
150249,n. gen. Bihariosaurus n. sp. bauxiticus,species,68174,Iguanodontia,,unranked clade,Berriasian,,145,139.8,14865,22.4,46.950001
150255,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Early Albian,,112.03,109,5977,140.433334,40.950001
150309,Monoclonius n. sp. nasicornus,species,56146,Styracosaurus albertensis,,species,Late Campanian,,83.5,70.6,5980,-111.565781,50.742214
150310,Monoclonius n. sp. cutleri,species,56145,Centrosaurus apertus,,species,Campanian,,83.6,72.1,5980,-111.800003,50.73
150318,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Late Albian,Early Turonian,105.3,89.3,5986,143,-22.6
150324,Macroolithus rugustus,species,67192,Macroolithus rugustus,,species,Maastrichtian,,72.1,66,18353,99.926941,43.720554
150326,Macroolithus rugustus,species,67192,Macroolithus rugustus,,species,Maastrichtian,,72.1,66,17027,84.0047,47.5919
150327,Spheroolithus sp.,genus,67290,Spheroolithus,,genus,Cenomanian,Santonian,100.5,83.6,14217,101.331947,43.938889
150328,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Late Cretaceous,,100.5,66,61563,110.416664,45.099998
150610,Ornithopoda indet.,unranked clade,38713,Ornithopoda,,unranked clade,Maastrichtian,,72.1,66,17073,36.033333,32.016666
150847,n. gen. Patagopteryx n. sp. deferrariisi,species,68529,Patagopteryx deferrariisi,,species,Santonian,,86.3,83.6,6047,-68.234169,-38.953888
150848,n. gen. Neuquenornis n. sp. volans,species,100989,Neuquenornis volans,,species,Santonian,,86.3,83.6,6046,-68.234169,-38.953888
150851,n. gen. Graciliceratops n. sp. mongoliensis,species,67674,Graciliceratops mongoliensis,,species,Cenomanian,Santonian,100.5,83.6,14425,101.331947,43.938889
150852,"""Syrmosaurus"" disparoserratus",species,67250,Ankylosauridae,,family,Cenomanian,Santonian,100.5,83.6,6048,101.331947,43.938889
150853,Ornithomimidae indet.,family,38539,Ornithomimidae,,family,Cenomanian,Santonian,100.5,83.6,6048,101.331947,43.938889
150854,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Cenomanian,Santonian,100.5,83.6,6048,101.331947,43.938889
150855,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Cenomanian,Santonian,100.5,83.6,6048,101.331947,43.938889
154974,Ankylosauridae indet.,family,38831,Ankylosauridae,,family,Middle Campanian,Late Campanian,83.5,70.6,9899,101.125,43.487499
154975,n. gen. Bagaceratops n. sp. rozhdestvenskyi,species,52826,Bagaceratops rozhdestvenskyi,,species,Middle Campanian,Late Campanian,83.5,70.6,6048,99.75,43.25
154986,n. gen. Gobipteryx n. sp. minuta,species,57334,Gobipteryx minuta,,species,Middle Campanian,Late Campanian,83.5,70.6,9759,101.125,43.487499
162544,Eolambia caroljonesa,species,66500,Eolambia caroljonesa,,species,Early Cenomanian,,99.6,93.5,78573,-111,39
219923,Megaloolithus patagonicus,species,81783,Megaloolithus jabalpurensis,,species,Early Campanian,Middle Campanian,83.5,70.6,24402,-68.51667,-37.883331
219925,Ceratopsidae indet.,family,38851,Ceratopsidae,,family,Late Maastrichtian,,70.6,66,5739,-104.482002,43.3494
219926,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Maastrichtian,,70.6,66,5739,-104.482002,43.3494
219927,Saurischia indet.,unranked clade,38505,Saurischia,,unranked clade,Late Maastrichtian,,70.6,66,5739,-104.482002,43.3494
219931,Pachycephalosauridae indet.,family,38783,Pachycephalosauridae,,family,Late Maastrichtian,,70.6,66,5739,-104.482002,43.3494
219935,Ceratopsidae indet.,family,38851,Ceratopsidae,,family,Late Campanian,,83.5,70.6,5723,-111.32457,50.815014
219965,Iguanodon n. sp. bernissartensis,species,58905,Iguanodon bernissartensis,,species,Barremian,Early Aptian,129.4,122.46,19188,3.633333,50.466667
219990,Prosaurolophus blackfeetensis,species,57631,Prosaurolophus blackfeetensis,,species,Campanian,,83.6,72.1,17718,-113.75,48.630001
219991,Saurischia indet.,unranked clade,38505,Saurischia,,unranked clade,Campanian,,83.6,72.1,5724,-113.75,48.630001
219992,Maiasaura peeblesorum,species,55574,Maiasaura peeblesorum,,species,Campanian,,83.6,72.1,5724,-113.75,48.633301
219993,Orodromeus makelai,species,64338,Orodromeus makelai,,species,Campanian,,83.6,72.1,7404,-113.75,48.633301
219994,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Campanian,,83.6,72.1,5724,-113.75,48.633301
219997,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,5922,-111.525871,50.728848
219998,Tyrannosauridae indet.,family,38606,Tyrannosauridae,,family,Late Campanian,,83.5,70.6,14199,-111.525871,50.728848
219999,Ornithomimidae indet.,family,38539,Ornithomimidae,,family,Late Campanian,,83.5,70.6,5922,-111.525871,50.728848
220000,Nodosaurus sp.,genus,38823,Nodosaurus,,genus,Late Campanian,,83.5,70.6,5922,-111.525871,50.728848
220001,Ornithischia indet.,unranked clade,38712,Ornithischia,,unranked clade,Late Campanian,,83.5,70.6,5922,-111.525871,50.728848
220003,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,5923,-111.513893,50.734207
220004,Chasmosaurus sp.,genus,38855,Chasmosaurus,,genus,Late Campanian,,83.5,70.6,5923,-111.513893,50.734207
220008,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,5721,-111.524582,50.727234
220009,Tyrannosaurus rex,species,54833,Tyrannosaurus rex,,species,Late Campanian,,83.5,70.6,5721,-111.524582,50.727234
220010,Centrosaurus apertus,species,63911,Centrosaurus apertus,,species,Late Campanian,,83.5,70.6,14847,-111.524582,50.727234
220011,Velociraptor sp.,genus,38564,Velociraptor,,genus,Late Campanian,,83.5,70.6,5721,-111.524582,50.727234
220012,Nodosauridae indet.,family,38817,Nodosauridae,,family,Late Campanian,,83.5,70.6,5721,-111.524582,50.727234
220027,cf. Mojoceratops sp.,genus,170958,Chasmosaurus,,genus,Late Campanian,,83.5,70.6,33878,-111.484657,50.750553
220028,Albertosaurus libratus,species,57255,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,5924,-111.484657,50.750553
220029,Tyrannosauridae indet.,family,38606,Tyrannosauridae,,family,Late Campanian,,83.5,70.6,5924,-111.484657,50.750553
220090,Velociraptor mongoliensis,species,54554,Velociraptor mongoliensis,,species,Late Campanian,,83.5,70.6,63431,103.333336,44.25
220091,Protoceratops andrewsi,species,52824,Protoceratops andrewsi,,species,Late Campanian,,83.5,70.6,63431,103.333336,44.25
220095,Hypsilophodon foxii,species,54190,Hypsilophodon foxii,,species,Barremian,,129.4,125,5672,1.25,50.07
220096,Prosaurolophus blackfeetensis,species,57631,Prosaurolophus blackfeetensis,,species,Campanian,,83.6,72.1,5724,-113.75,48.633301
220097,Hypacrosaurus cf. stebingeri,species,64339,Hypacrosaurus stebingeri,,species,Campanian,,83.6,72.1,17718,-113.75,48.633301
220098,Gryposaurus sp.,genus,53014,Gryposaurus,,genus,Campanian,,83.6,72.1,5724,-113.75,48.633301
220099,Troodon formosus,species,54818,Troodon formosus,,species,Campanian,,83.6,72.1,5724,-113.75,48.633301
220100,Daspletosaurus horneri,species,351539,Daspletosaurus horneri,,species,Campanian,,83.6,72.1,62031,-113.75,48.633301
220108,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Campanian,,83.6,72.1,5724,-112.701118,48.479202
220109,Maiasaura peeblesorum,species,55574,Maiasaura peeblesorum,,species,Campanian,,83.6,72.1,5724,-112.701118,48.479202
220112,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,5697,-112.640831,48.910831
220113,Ankylosauridae indet.,family,38831,Ankylosauridae,,family,Late Campanian,,83.5,70.6,17718,-112.640831,48.910831
220114,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Campanian,,83.6,72.1,5697,-112.650002,48.966599
220116,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,5929,-111.39872,50.754803
220119,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,5929,-111.325546,50.781303
220124,Pachyrhinosaurus n. sp. lakustai,species,167138,Pachyrhinosaurus lakustai,,species,Late Campanian,,83.5,70.6,32668,-119.108101,55.0639
220125,Ornithischia indet.,unranked clade,38712,Ornithischia,,unranked clade,Late Hauterivian,,136.4,130,5772,-0.116389,50.956112
220148,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Middle Campanian,Late Campanian,83.5,70.6,5684,-103.196945,29.138056
220149,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Middle Campanian,Late Campanian,83.5,70.6,5684,-103.196945,29.138056
220150,Carnosauria indet.,infraorder,53943,Carnosauria,,infraorder,Middle Campanian,Late Campanian,83.5,70.6,5684,-103.196945,29.138056
220190,n. gen. Convolosaurus n. sp. marri,species,382687,Convolosaurus marri,,species,Late Aptian,,122.46,112.03,68145,-98.476303,31.9722
220191,cf. Dromaeosauridae indet.,family,38561,Dromaeosauridae,,family,Late Aptian,,122.46,112.03,7600,-98.476303,31.9722
220226,Iguanodon bernissartensis,species,58905,Iguanodon bernissartensis,,species,Late Barremian,Early Aptian,130,122.46,5691,8.632222,51.434166
220227,Iguanodon cf. atherfieldensis,species,64255,Mantellisaurus atherfieldensis,,species,Late Barremian,Early Aptian,130,122.46,5691,8.632222,51.434166
220228,Iguanodon cf. bernissartensis,species,58905,Iguanodon bernissartensis,,species,Late Barremian,Early Aptian,130,122.46,5691,8.632222,51.434166
220247,Hesperornithiformes indet.,order,36617,Hesperornithiformes,,order,Middle Cenomanian,,99.6,93.5,5932,-102.240944,53.480598
221280,Styracosaurus albertensis,species,56144,Styracosaurus albertensis,,species,Late Campanian,,83.5,70.6,18896,-111.494217,50.736092
221281,Centrosaurus apertus,species,63911,Centrosaurus apertus,,species,Late Campanian,,83.5,70.6,18556,-111.484657,50.750553
229313,Hypacrosaurus stebingeri,species,64339,Hypacrosaurus stebingeri,,species,Campanian,,83.6,72.1,12559,-113.75,48.633301
229314,Prosaurolophus n. sp. blackfeetensis,species,57631,Prosaurolophus blackfeetensis,,species,Late Campanian,,83.5,70.6,5697,-112.640831,48.910831
229315,n. gen. Einiosaurus n. sp. procurvicornis,species,53954,Einiosaurus procurvicornis,,species,Campanian,,83.6,72.1,14725,-112.650002,48.966599
229316,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Campanian,,83.6,72.1,5697,-112.650002,48.966599
229317,Einiosaurus procurvicornis,species,53954,Einiosaurus procurvicornis,,species,Campanian,,83.6,72.1,8729,-112.650002,48.966599
229342,Chasmosaurus mariscalensis,species,52772,Agujaceratops mariscalensis,,species,Middle Campanian,Late Campanian,83.5,70.6,5684,-103.196945,29.138056
232546,n. gen. Potamornis n. sp. skutchi,species,134353,Potamornis skutchi,,species,Late Maastrichtian,,70.6,66,6735,-104.637001,43.116329
247238,n. gen. Sauroposeidon n. sp. proteles,species,66617,Sauroposeidon proteles,,species,Aptian,Albian,125,100.5,6837,-95.82,34.164001
248041,Dromaeosaurus albertensis,species,54550,Dromaeosaurus albertensis,,species,Middle Campanian,Late Campanian,83.5,70.6,13591,-109.297203,46.465099
248042,Saurornitholestes langstoni,species,54556,Saurornitholestes langstoni,,species,Middle Campanian,Late Campanian,83.5,70.6,13591,-109.297203,46.465099
248043,Troodon formosus,species,54818,Troodon formosus,,species,Middle Campanian,Late Campanian,83.5,70.6,13591,-109.297203,46.465099
248044,Richardoestesia gilmorei,species,58874,Richardoestesia gilmorei,,species,Middle Campanian,Late Campanian,83.5,70.6,13591,-109.297203,46.465099
248045,Theropoda indet. A informal,unranked clade,38513,Theropoda,,unranked clade,Middle Campanian,Late Campanian,83.5,70.6,1488,-109.297203,46.465099
248060,Dromaeosaurus albertensis,species,54550,Dromaeosaurus albertensis,,species,Middle Campanian,,83.5,70.6,13752,-109.410004,46.459999
248061,Saurornitholestes langstoni,species,54556,Saurornitholestes langstoni,,species,Middle Campanian,,83.5,70.6,13752,-109.410004,46.459999
248062,Troodon formosus,species,54818,Troodon formosus,,species,Middle Campanian,,83.5,70.6,13752,-109.410004,46.459999
248063,Richardoestesia gilmorei,species,58874,Richardoestesia gilmorei,,species,Middle Campanian,,83.5,70.6,13752,-109.410004,46.459999
248064,Theropoda indet. A informal,unranked clade,38513,Theropoda,,unranked clade,Middle Campanian,,83.5,70.6,1488,-109.410004,46.459999
248075,n. gen. Avaceratops n. sp. lammersi,species,55539,Avaceratops lammersi,,species,Middle Campanian,,83.5,70.6,25472,-109.410004,46.459999
248589,Hadrosaurinae indet.,subfamily,53382,Hadrosaurinae,,subfamily,Late Campanian,,83.5,70.6,694,-101.116669,26.116667
248590,Troodontidae indet.,family,54468,Troodontidae,,family,Late Campanian,,83.5,70.6,694,-101.116669,26.116667
248591,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,17032,-101.116669,26.116667
248594,n. gen. Latirhinus n. sp. uitstlani,species,251612,Latirhinus uitstlani,,species,Late Campanian,,83.5,70.6,43677,-101.699997,25.470833
248595,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,694,-101.699997,25.470833
248601,Hadrosaurinae indet.,subfamily,53382,Hadrosaurinae,,subfamily,Late Campanian,,83.5,70.6,694,-101.416664,25.466667
248602,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,694,-101.416664,25.466667
248607,Hadrosaurinae indet.,subfamily,53382,Hadrosaurinae,,subfamily,Late Campanian,,83.5,70.6,694,-101.343887,25.505556
248608,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,694,-101.343887,25.505556
248615,Saurolophinae indet.,subfamily,53385,Saurolophinae,,subfamily,Late Campanian,,83.5,70.6,82620,-101.400276,25.5
248616,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,694,-101.400276,25.5
248617,Alvarezsauridae indet.,family,64116,Alvarezsauridae,,family,Lancian,,70.6,66,75223,-106.427223,47.675835
248618,Tyrannosauridae indet.,family,38606,Tyrannosauridae,,family,Lancian,,70.6,66,1987,-106.427223,47.675835
248619,Coelurosauria indet.,unranked clade,53940,Coelurosauria,,unranked clade,Lancian,,70.6,66,1987,-106.427223,47.675835
248620,Edmontosaurus cf. annectens,species,64305,Edmontosaurus annectens,,species,Lancian,,70.6,66,67361,-106.427223,47.675835
248621,Ceratopsidae indet.,family,38851,Ceratopsidae,,family,Lancian,,70.6,66,1987,-106.427223,47.675835
248622,Ankylosauridae indet.,family,38831,Ankylosauridae,,family,Lancian,,70.6,66,1987,-106.427223,47.675835
255078,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Late Campanian,,83.5,70.6,6944,103.73333,44.200001
255079,Macroolithus yaotunensis,species,67184,Macroolithus yaotunensis,,species,Late Campanian,,83.5,70.6,6944,103.73333,44.200001
255091,Ovaloolithus chinkangkouensis,species,68513,Ovaloolithus chinkangkouensis,,species,Campanian,,83.6,72.1,24337,120.663673,36.890354
255096,Elongatoolithus andrewsi,species,67193,Elongatoolithus andrewsi,,species,Campanian,Maastrichtian,83.6,66,6944,90.068756,44.685757
255376,Anatosaurus n. sp. copei,species,53383,Anatotitan copei,,species,Late Maastrichtian,,70.6,66,12319,-102.497498,45.135834
255468,Iguanodontipodidae indet.,family,451677,Iguanodontipodidae,,family,Barremian,,129.4,125,82449,136.761887,35.907986
255471,Shiraminesauropus n. sp. hayashidaniensis,species,142960,Iguanodontipodidae,,family,Barremian,,129.4,125,36936,136.766663,35.883331
255475,Dinosauria indet.,unranked clade,91968,Dinosauria,,unranked clade,Hauterivian,,132.9,129.4,82449,136.710999,35.948002
255479,Aquatilavipes n. sp. izumiensis,species,142961,Aquatilavipes izumiensis,,species,Barremian,,129.4,125,29439,144.483337,43.816666
255621,cf. Dryptosaurus sp.,genus,38605,Dryptosaurus,,genus,Late Campanian,,83.5,70.6,54671,-74.300003,40.299999
255622,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,1691,-74.300003,40.299999
255623,Hadrosaurus sp.,genus,38762,Hadrosaurus,,genus,Late Campanian,,83.5,70.6,1691,-74.300003,40.299999
255624,Hypsibema crassicauda,species,64361,Hadrosauridae,,family,Late Campanian,,83.5,70.6,1691,-74.300003,40.299999
255625,Ornithopoda indet.,unranked clade,38713,Ornithopoda,,unranked clade,Late Campanian,,83.5,70.6,1691,-74.300003,40.299999
256036,Saurolophinae indet.,subfamily,53385,Saurolophinae,,subfamily,Maastrichtian,,72.1,66,14863,-121.216667,37.466667
256118,Triceratops prorsus,species,63770,Triceratops prorsus,,species,Late Maastrichtian,,70.6,66,6967,-104.021111,46.466389
256442,cf. Titanosaurus indicus,species,54171,Titanosauria,,unranked clade,Maastrichtian,,72.1,66,14539,80.366699,23.35
256525,n. gen. Protohadros n. sp. byrdi,species,64527,Protohadros byrdi,,species,Middle Cenomanian,,99.6,93.5,6977,-97.096664,33.014442
256534,Chasmosaurus n. sp. irvinensis,species,64731,Vagaceratops irvinensis,,species,Late Campanian,,83.5,70.6,6978,-110.26667,49.950001
256539,Chasmosaurus irvinensis,species,64731,Vagaceratops irvinensis,,species,Late Campanian,,83.5,70.6,6978,-111.300003,50.733334
256575,Iguanodon mantelli,species,64506,Iguanodon mantelli,,species,Late Barremian,Early Aptian,130,122.46,6980,-1.371491,50.617344
256590,Confuciusornis n. sp. dui,species,67265,Confuciusornis dui,,species,Late Barremian,Early Aptian,130,122.46,6983,120.73333,41.799999
256591,Sinopliosaurus n. sp. fusuiensis,species,66511,Spinosauridae,,family,Aptian,,125,113,13841,107.907501,22.639444
256592,Asiatosaurus n. sp. kwangshiensis,species,65692,Sauropoda,,unranked clade,Aptian,,125,113,13841,107.907501,22.639444
256593,Prodeinodon n. sp. kwangshiensis,species,65690,Tetanurae,,unranked clade,Aptian,,125,113,13841,107.907501,22.639444
256679,Iguanodon n. sp. atherfieldensis,species,64255,Mantellisaurus atherfieldensis,,species,Late Hauterivian,Early Aptian,136.4,122.46,6982,-1.352,50.618999
256680,Pelorosaurus n. sp. becklesii,species,67039,Haestasaurus becklesii,,species,Late Berriasian,Valanginian,145,132.9,44406,0.6,50.849998
256711,n. gen. Wannanosaurus n. sp. yansiensis,species,52840,Wannanosaurus yansiensis,,species,Early Maastrichtian,,70.6,66,6987,118.337502,29.821943
256788,Tyrannosauridae indet.,family,38606,Tyrannosauridae,,family,Late Campanian,,83.5,70.6,6989,-110.76667,31.666668
256789,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,37768,-110.76667,31.666668
256790,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,62803,-110.76667,31.666668
