occurrence_no,identified_name,identified_rank,identified_no,accepted_name,accepted_attr,accepted_rank,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
1353958,Sauropoda ? indet.,unranked clade,95571,Sauropoda,,unranked clade,Early Maastrichtian,,70.6,66,61342,0.990305,42.152664
1353959,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Early Maastrichtian,,70.6,66,61342,0.996796,42.159145
1353960,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Early Maastrichtian,,70.6,66,61342,0.799087,42.25452
1353961,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Early Maastrichtian,,70.6,66,61342,0.799087,42.25452
1353962,Sauropoda indet.,unranked clade,95571,Sauropoda,,unranked clade,Early Maastrichtian,,70.6,66,61342,0.956998,42.152428
1353963,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Early Maastrichtian,,70.6,66,61342,0.956998,42.152428
1353964,Sauropoda indet.,unranked clade,95571,Sauropoda,,unranked clade,Early Maastrichtian,,70.6,66,61342,0.956998,42.152428
1353965,Sauropoda ? indet.,unranked clade,95571,Sauropoda,,unranked clade,Late Maastrichtian,,70.6,66,61342,1.792291,42.201591
1353966,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.516767,42.347885
1353967,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Early Maastrichtian,,70.6,66,61342,0.516767,42.347885
1353968,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.558812,42.325188
1353969,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.558812,42.325188
1353970,Hadrosauridae ? indet.,family,38755,Hadrosauridae,,family,Late Maastrichtian,,70.6,66,61342,0.681002,42.289284
1353971,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.681002,42.289284
1353972,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.681002,42.289284
1353973,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.681002,42.289284
1353974,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.681002,42.289284
1353975,Hadrosauropodus sp.,genus,81012,Hadrosauropodus,,genus,Late Maastrichtian,,70.6,66,61342,0.681002,42.289284
1354182,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Late Campanian,Early Maastrichtian,83.5,66,61347,0.972587,42.17226
1354183,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Early Maastrichtian,,70.6,66,61347,0.9449,42.152534
1354186,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Early Maastrichtian,,70.6,66,61347,0.742292,42.256371
1355319,Troodon formosus,species,54818,Troodon formosus,,species,Late Campanian,,83.5,70.6,13889,-111.56308,50.724758
1355321,Ornithomimidae indet.,family,38539,Ornithomimidae,,family,Late Campanian,,83.5,70.6,61480,-111.56308,50.724758
1356022,n. gen. Triunfosaurus n. sp. leonardii,species,350051,Triunfosaurus leonardii,,species,Berriasian,Early Hauterivian,145,130,61524,-38.540279,-6.698056
1356526,Aves indet.,class,36616,Aves,,class,Late Barremian,,130,125.45,61554,35.580002,33.540001
1357168,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Early Maastrichtian,,70.6,66,61347,1.081006,42.149494
1357175,Gargantuavis philoinos,species,65146,Gargantuavis philoinos,,species,Late Campanian,,83.5,70.6,61633,-2.634513,42.664555
1358881,Ankylosauria indet.,unranked clade,38816,Ankylosauria,,unranked clade,Late Barremian,,130,125.45,61881,-2.067325,40.590469
1358882,Ornithopoda indet.,unranked clade,38713,Ornithopoda,,unranked clade,Late Barremian,,130,125.45,61881,-2.067325,40.590469
1358883,Styracosterna indet.,unranked clade,52809,Styracosterna,,unranked clade,Late Barremian,,130,125.45,61881,-2.067325,40.590469
1358891,Ornithopoda indet.,unranked clade,147918,Ornithopoda,,unranked clade,Late Barremian,,130,125.45,61881,-2.062537,40.551258
1358892,Theropoda indet.,unranked clade,94209,Theropoda,,unranked clade,Late Barremian,,130,125.45,61881,-2.062537,40.551258
1358894,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,61882,-111.856476,37.624817
1359196,Aves indet.,class,36616,Aves,,class,Late Maastrichtian,,70.6,66,61886,-104.516968,37.118034
1359198,Ceratopsidae indet.,family,38851,Ceratopsidae,,family,Late Maastrichtian,,70.6,66,61886,-104.516968,37.118034
1359199,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Maastrichtian,,70.6,66,61886,-104.516968,37.118034
1359973,Lambeosaurinae indet.,subfamily,53394,Lambeosaurinae,,subfamily,Late Campanian,,83.5,70.6,61988,-101.400276,25.5
1360388,Theropoda indet.,unranked clade,94209,Theropoda,,unranked clade,Early Campanian,,83.5,70.6,61991,62.603409,42.099003
1360389,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Early Campanian,,83.5,70.6,61991,62.603409,42.099003
1360633,Daspletosaurus horneri,species,351539,Daspletosaurus horneri,,species,Campanian,,83.6,72.1,62031,-112.582832,47.634678
1361079,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Campanian,Early Maastrichtian,83.5,66,62068,-69.550003,-36.333332
1363163,Carnosauria indet.,infraorder,53943,Carnosauria,,infraorder,Cenomanian,,100.5,93.9,62193,142.806671,-23.076111
1363164,Coelurosauria indet.,unranked clade,97931,Coelurosauria,,unranked clade,Cenomanian,,100.5,93.9,62193,142.806671,-23.076111
1363663,n. gen. Tengrisaurus n. sp. starkovi,species,352584,Tengrisaurus starkovi,,species,Late Barremian,Aptian,130,113,62233,106.274719,51.195557
1364695,Iguanodon mantelli,species,64506,Iguanodon mantelli,,species,Berriasian,,145,139.8,62309,9.959357,52.341167
1364951,Megalosauropus broomensis,species,55027,Megalosauropus broomensis,,species,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
1364952,Megalosauropus broomensis,species,55027,Megalosauropus broomensis,,species,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
1364954,Yangtzepus n. sp. clarkei,species,353500,Yangtzepus clarkei,,species,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
1364955,Yangtzepus clarkei,species,353500,Yangtzepus clarkei,,species,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
1364956,Theropoda indet. A informal,unranked clade,91970,Theropoda,,unranked clade,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
1364957,Theropoda indet. B informal,unranked clade,91970,Theropoda,,unranked clade,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
1364958,Theropoda indet. C informal,unranked clade,91970,Theropoda,,unranked clade,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
1364959,Theropoda indet. C informal,unranked clade,91970,Theropoda,,unranked clade,Valanginian,Barremian,139.8,125,62321,122.142029,-17.489502
