num,x,y,name,genus,species,img
1,40.692222,-73.975278,Ginkgo,Ginkgo,biloba,ginkgo.png
2,50.6925,-73.975278,Northern Red Oak,Quercus,rubra,northernredoak.png
3,60.692222,-73.975833,Black Locust,Robinia,pseudoacacia,blacklocust.png
4,70.692222,-73.975833,Japanese Zelkova,Zelkova,serrata,zelkova.png
5,25.692222,-73.975833,Honey Locust,Gleditsia,triacanthos,honeylocust.png
7,66.691389,-73.978611,Mulberry,Morus,,mulberry.png
