occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
405220,occ,20949,I,38888,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Rhaetian,Hettangian,208.5,199.3,27985,-111.112221,35.863056
405221,occ,20948,I,38889,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Rhaetian,Hettangian,208.5,199.3,27985,-111.112221,35.863056
406872,occ,,,39160,n. gen. Camposaurus n. sp. arizonensis,species,66659,,Camposaurus arizonensis,,species,66659,Norian,,228,208.5,13905,-109.462486,34.43742
461293,occ,39455,,45513,n. gen. Unaysaurus n. sp. tolentinoi,species,62959,,Unaysaurus tolentinoi,,species,62959,Norian,,228,208.5,11929,-53.856945,-29.601389
463421,occ,,,22684,n. gen. Pterospondylus n. sp. trielbae,species,56383,nomen dubium,Ceratosauria,,suborder,90100,Rhaetian,,208.5,201.3,34613,11.073611,51.897499
468605,occ,,I,46555,n. gen. Agialopous n. sp. wyomingensis,species,54519,,Agialopous wyomingensis,,species,54519,Norian,Rhaetian,228,201.3,9241,-108.808891,43.025555
468633,occ,,I,46560,Anomoepus ? sp.,genus,67049,,Anomoepus,,genus,67049,Norian,,228,208.5,12429,-103.350899,36.894199
468634,occ,,IF,46560,cf. Anchisauripus hitchcocki,species,66091,subjective synonym of,Grallator tenuis,,species,67368,Norian,,228,208.5,12429,-103.350899,36.894199
468903,occ,27489,I,46621,Grallator n. sp. sulcatus,species,64081,subjective synonym of,Grallator cursorius,,species,64080,Norian,,228,208.5,12444,-75.095001,40.568611
468904,occ,,I,46622,Gigandipus n. sp. milfordensis,species,68465,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,19814,-75.095001,40.568611
468906,occ,31571,,46622,Dinosauria indet.,unranked clade,90099,,Dinosauria,,unranked clade,52775,Norian,,228,208.5,12444,-75.095001,40.568611
474116,occ,,,47036,Herrerasaurus sp.,genus,38511,,Herrerasaurus,,genus,38511,Carnian,,237,228,12507,-67.877777,-30.136944
479382,occ,,,36610,n. gen. Aliwalia n. sp. rex,species,55003,subjective synonym of,Eucnemesaurus fortis,,species,56614,Norian,Rhaetian,228,201.3,9279,26.616667,-30.950001
479548,occ,,,47800,Thecodontosaurus n. sp. diagnosticus,species,64389,subjective synonym of,Efraasia minor,,species,54997,Alaunian,,215.56,212,26359,8.9764,49.0644
479551,occ,23500,,47802,n. gen. Gresslyosaurus n. sp. ingens,species,57405,,Gresslyosaurus ingens,,species,57405,Sevatian,,212,205.6,34081,7.7333,47.466702
479552,occ,,,47802,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Sevatian,,212,205.6,16924,7.7333,47.466702
479560,occ,37124,,47803,Sauropodomorpha indet.,unranked clade,91972,,Sauropodomorpha,,unranked clade,38633,Norian,,228,208.5,72985,8.451944,47.706112
479561,occ,37125,,47804,Sauropodomorpha indet.,unranked clade,91972,,Sauropodomorpha,,unranked clade,38633,Norian,,228,208.5,72985,8.4667,47.700001
479563,occ,,,47806,Plateosaurus sp.,genus,38644,,Plateosaurus,,genus,38644,Norian,,228,208.5,12799,8.486944,47.741669
483851,occ,22869,,39160,Herrerasauridae indet.,family,38510,,Herrerasauridae,,family,38510,Norian,,228,208.5,13905,-109.462486,34.43742
483867,occ,,,48422,Coelurus n. sp. bauri,species,54212,recombined as,Coelophysis bauri,,species,54212,Rhaetian,,208.5,201.3,5928,-106.473099,36.331699
483876,occ,22725,,48423,Theropoda indet.,unranked clade,162964,,Theropoda,,unranked clade,38513,Norian,,228,208.5,28148,-111.247223,35.841667
